PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,271
ALL,1,ESCORT,1640
ALL,1,HOME,5956714
ALL,1,OTHER DISCRETIONARY,809
ALL,1,OTHER MAINTENANCE,2446
ALL,1,SCHOOL,846
ALL,1,SHOPPING,1183
ALL,1,SOCIAL,377
ALL,1,UNIVERSITY,246
ALL,1,WORK,4280
ALL,1,WORK SUB-TOUR,92
ALL,2,EATOUT,657
ALL,2,ESCORT,3533
ALL,2,HOME,5945885
ALL,2,OTHER DISCRETIONARY,1431
ALL,2,OTHER MAINTENANCE,5063
ALL,2,SCHOOL,1409
ALL,2,SHOPPING,2468
ALL,2,SOCIAL,946
ALL,2,UNIVERSITY,468
ALL,2,WORK,10887
ALL,2,WORK SUB-TOUR,281
ALL,3,EATOUT,1092
ALL,3,ESCORT,5520
ALL,3,HOME,5934117
ALL,3,OTHER DISCRETIONARY,2502
ALL,3,OTHER MAINTENANCE,7618
ALL,3,SCHOOL,1757
ALL,3,SHOPPING,3557
ALL,3,SOCIAL,1596
ALL,3,UNIVERSITY,698
ALL,3,WORK,22193
ALL,3,WORK SUB-TOUR,591
ALL,4,EATOUT,4469
ALL,4,ESCORT,8441
ALL,4,HOME,5918162
ALL,4,OTHER DISCRETIONARY,4789
ALL,4,OTHER MAINTENANCE,11920
ALL,4,SCHOOL,1991
ALL,4,SHOPPING,4848
ALL,4,SOCIAL,2731
ALL,4,UNIVERSITY,1055
ALL,4,WORK,42691
ALL,4,WORK SUB-TOUR,1031
ALL,5,EATOUT,7531
ALL,5,ESCORT,11480
ALL,5,HOME,5889015
ALL,5,OTHER DISCRETIONARY,12975
ALL,5,OTHER MAINTENANCE,17294
ALL,5,SCHOOL,2148
ALL,5,SHOPPING,6054
ALL,5,SOCIAL,3968
ALL,5,UNIVERSITY,1744
ALL,5,WORK,87930
ALL,5,WORK SUB-TOUR,1625
ALL,6,EATOUT,10361
ALL,6,ESCORT,18354
ALL,6,HOME,5831784
ALL,6,OTHER DISCRETIONARY,20167
ALL,6,OTHER MAINTENANCE,25561
ALL,6,SCHOOL,2255
ALL,6,SHOPPING,8309
ALL,6,SOCIAL,5522
ALL,6,UNIVERSITY,2866
ALL,6,WORK,175899
ALL,6,WORK SUB-TOUR,2293
ALL,7,EATOUT,12573
ALL,7,ESCORT,34318
ALL,7,HOME,5732920
ALL,7,OTHER DISCRETIONARY,27308
ALL,7,OTHER MAINTENANCE,38812
ALL,7,SCHOOL,27530
ALL,7,SHOPPING,13150
ALL,7,SOCIAL,7593
ALL,7,UNIVERSITY,5387
ALL,7,WORK,320101
ALL,7,WORK SUB-TOUR,2912
ALL,8,EATOUT,15306
ALL,8,ESCORT,72699
ALL,8,HOME,5555364
ALL,8,OTHER DISCRETIONARY,35452
ALL,8,OTHER MAINTENANCE,57549
ALL,8,SCHOOL,140060
ALL,8,SHOPPING,21911
ALL,8,SOCIAL,10625
ALL,8,UNIVERSITY,10393
ALL,8,WORK,537732
ALL,8,WORK SUB-TOUR,3939
ALL,9,EATOUT,19883
ALL,9,ESCORT,167331
ALL,9,HOME,5212369
ALL,9,OTHER DISCRETIONARY,49668
ALL,9,OTHER MAINTENANCE,85443
ALL,9,SCHOOL,425592
ALL,9,SHOPPING,38336
ALL,9,SOCIAL,19046
ALL,9,UNIVERSITY,21407
ALL,9,WORK,821278
ALL,9,WORK SUB-TOUR,5776
ALL,10,EATOUT,27717
ALL,10,ESCORT,275066
ALL,10,HOME,4557928
ALL,10,OTHER DISCRETIONARY,68799
ALL,10,OTHER MAINTENANCE,122633
ALL,10,SCHOOL,740472
ALL,10,SHOPPING,62656
ALL,10,SOCIAL,27751
ALL,10,UNIVERSITY,28732
ALL,10,WORK,1054917
ALL,10,WORK SUB-TOUR,8397
