PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,331
ALL,1,ESCORT,2046
ALL,1,HOME,6853143
ALL,1,OTHER DISCRETIONARY,793
ALL,1,OTHER MAINTENANCE,2599
ALL,1,SCHOOL,928
ALL,1,SHOPPING,1191
ALL,1,SOCIAL,471
ALL,1,UNIVERSITY,272
ALL,1,WORK,5051
ALL,1,WORK SUB-TOUR,95
ALL,2,EATOUT,766
ALL,2,ESCORT,4315
ALL,2,HOME,6840965
ALL,2,OTHER DISCRETIONARY,1549
ALL,2,OTHER MAINTENANCE,5536
ALL,2,SCHOOL,1569
ALL,2,SHOPPING,2599
ALL,2,SOCIAL,1056
ALL,2,UNIVERSITY,512
ALL,2,WORK,13277
ALL,2,WORK SUB-TOUR,328
ALL,3,EATOUT,1279
ALL,3,ESCORT,6491
ALL,3,HOME,6826731
ALL,3,OTHER DISCRETIONARY,2690
ALL,3,OTHER MAINTENANCE,8500
ALL,3,SCHOOL,1952
ALL,3,SHOPPING,4012
ALL,3,SOCIAL,1706
ALL,3,UNIVERSITY,718
ALL,3,WORK,27014
ALL,3,WORK SUB-TOUR,706
ALL,4,EATOUT,5331
ALL,4,ESCORT,9680
ALL,4,HOME,6807595
ALL,4,OTHER DISCRETIONARY,5061
ALL,4,OTHER MAINTENANCE,13175
ALL,4,SCHOOL,2211
ALL,4,SHOPPING,5613
ALL,4,SOCIAL,3093
ALL,4,UNIVERSITY,1078
ALL,4,WORK,51552
ALL,4,WORK SUB-TOUR,1215
ALL,5,EATOUT,8770
ALL,5,ESCORT,13113
ALL,5,HOME,6773047
ALL,5,OTHER DISCRETIONARY,13488
ALL,5,OTHER MAINTENANCE,19189
ALL,5,SCHOOL,2376
ALL,5,SHOPPING,6972
ALL,5,SOCIAL,4406
ALL,5,UNIVERSITY,1744
ALL,5,WORK,103985
ALL,5,WORK SUB-TOUR,1960
ALL,6,EATOUT,11852
ALL,6,ESCORT,20604
ALL,6,HOME,6708081
ALL,6,OTHER DISCRETIONARY,21642
ALL,6,OTHER MAINTENANCE,28611
ALL,6,SCHOOL,2480
ALL,6,SHOPPING,9523
ALL,6,SOCIAL,6163
ALL,6,UNIVERSITY,2940
ALL,6,WORK,205259
ALL,6,WORK SUB-TOUR,2741
ALL,7,EATOUT,14421
ALL,7,ESCORT,38307
ALL,7,HOME,6594113
ALL,7,OTHER DISCRETIONARY,29130
ALL,7,OTHER MAINTENANCE,43458
ALL,7,SCHOOL,28378
ALL,7,SHOPPING,14937
ALL,7,SOCIAL,8446
ALL,7,UNIVERSITY,5448
ALL,7,WORK,370580
ALL,7,WORK SUB-TOUR,3478
ALL,8,EATOUT,17187
ALL,8,ESCORT,79367
ALL,8,HOME,6393453
ALL,8,OTHER DISCRETIONARY,37792
ALL,8,OTHER MAINTENANCE,64220
ALL,8,SCHOOL,144850
ALL,8,SHOPPING,24646
ALL,8,SOCIAL,12139
ALL,8,UNIVERSITY,10673
ALL,8,WORK,619119
ALL,8,WORK SUB-TOUR,4724
ALL,9,EATOUT,22527
ALL,9,ESCORT,180957
ALL,9,HOME,6012555
ALL,9,OTHER DISCRETIONARY,54815
ALL,9,OTHER MAINTENANCE,96375
ALL,9,SCHOOL,436767
ALL,9,SHOPPING,42591
ALL,9,SOCIAL,21212
ALL,9,UNIVERSITY,21860
ALL,9,WORK,940308
ALL,9,WORK SUB-TOUR,6866
ALL,10,EATOUT,31169
ALL,10,ESCORT,298259
ALL,10,HOME,5305123
ALL,10,OTHER DISCRETIONARY,78338
ALL,10,OTHER MAINTENANCE,139157
ALL,10,SCHOOL,759681
ALL,10,SHOPPING,70425
ALL,10,SOCIAL,31266
ALL,10,UNIVERSITY,29398
ALL,10,WORK,1204597
ALL,10,WORK SUB-TOUR,9888
ALL,11,EATOUT,36235
ALL,11,ESCORT,284363
ALL,11,HOME,4578484
ALL,11,OTHER DISCRETIONARY,107475
ALL,11,OTHER MAINTENANCE,183401
ALL,11,SCHOOL,934006
ALL,11,SHOPPING,101527
ALL,11,SOCIAL,38180
ALL,11,UNIVERSITY,41266
ALL,11,WORK,1423074
ALL,11,WORK SUB-TOUR,13863
ALL,12,EATOUT,37091
ALL,12,ESCORT,210069
ALL,12,HOME,4087632
ALL,12,OTHER DISCRETIONARY,133935
ALL,12,OTHER MAINTENANCE,208529
ALL,12,SCHOOL,987340
ALL,12,SHOPPING,119971
ALL,12,SOCIAL,42504
ALL,12,UNIVERSITY,49199
ALL,12,WORK,1580333
ALL,12,WORK SUB-TOUR,18928
ALL,13,EATOUT,41556
ALL,13,ESCORT,149534
ALL,13,HOME,3801239
ALL,13,OTHER DISCRETIONARY,166267
ALL,13,OTHER MAINTENANCE,239152
ALL,13,SCHOOL,1013016
ALL,13,SHOPPING,154803
ALL,13,SOCIAL,53993
ALL,13,UNIVERSITY,57258
ALL,13,WORK,1689530
ALL,13,WORK SUB-TOUR,25564
ALL,14,EATOUT,44083
ALL,14,ESCORT,119378
ALL,14,HOME,3570025
ALL,14,OTHER DISCRETIONARY,189348
ALL,14,OTHER MAINTENANCE,263927
ALL,14,SCHOOL,1026434
ALL,14,SHOPPING,184337
ALL,14,SOCIAL,63034
ALL,14,UNIVERSITY,62341
ALL,14,WORK,1751523
ALL,14,WORK SUB-TOUR,35366
ALL,15,EATOUT,47237
ALL,15,ESCORT,108546
ALL,15,HOME,3427470
ALL,15,OTHER DISCRETIONARY,202317
ALL,15,OTHER MAINTENANCE,304791
ALL,15,SCHOOL,1033654
ALL,15,SHOPPING,230957
ALL,15,SOCIAL,71984
ALL,15,UNIVERSITY,66601
ALL,15,WORK,1792833
ALL,15,WORK SUB-TOUR,51476
ALL,16,EATOUT,49601
ALL,16,ESCORT,103965
ALL,16,HOME,3288353
ALL,16,OTHER DISCRETIONARY,201021
