PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,301
ALL,1,ESCORT,2130
ALL,1,HOME,7243518
ALL,1,OTHER DISCRETIONARY,823
ALL,1,OTHER MAINTENANCE,2734
ALL,1,SCHOOL,1079
ALL,1,SHOPPING,1258
ALL,1,SOCIAL,480
ALL,1,UNIVERSITY,223
ALL,1,WORK,5417
ALL,1,WORK SUB-TOUR,117
ALL,2,EATOUT,740
ALL,2,ESCORT,4505
ALL,2,HOME,7230555
ALL,2,OTHER DISCRETIONARY,1575
ALL,2,OTHER MAINTENANCE,5765
ALL,2,SCHOOL,1739
ALL,2,SHOPPING,2822
ALL,2,SOCIAL,1150
ALL,2,UNIVERSITY,431
ALL,2,WORK,14094
ALL,2,WORK SUB-TOUR,356
ALL,3,EATOUT,1333
ALL,3,ESCORT,6738
ALL,3,HOME,7215723
ALL,3,OTHER DISCRETIONARY,2839
ALL,3,OTHER MAINTENANCE,8826
ALL,3,SCHOOL,2180
ALL,3,SHOPPING,4147
ALL,3,SOCIAL,1972
ALL,3,UNIVERSITY,647
ALL,3,WORK,28280
ALL,3,WORK SUB-TOUR,751
ALL,4,EATOUT,5407
ALL,4,ESCORT,10455
ALL,4,HOME,7195911
ALL,4,OTHER DISCRETIONARY,5374
ALL,4,OTHER MAINTENANCE,14142
ALL,4,SCHOOL,2460
ALL,4,SHOPPING,5790
ALL,4,SOCIAL,3364
ALL,4,UNIVERSITY,994
ALL,4,WORK,53912
ALL,4,WORK SUB-TOUR,1280
ALL,5,EATOUT,8877
ALL,5,ESCORT,13936
ALL,5,HOME,7159311
ALL,5,OTHER DISCRETIONARY,14346
ALL,5,OTHER MAINTENANCE,20347
ALL,5,SCHOOL,2631
ALL,5,SHOPPING,7189
ALL,5,SOCIAL,4814
ALL,5,UNIVERSITY,1669
ALL,5,WORK,108774
ALL,5,WORK SUB-TOUR,2045
ALL,6,EATOUT,12173
ALL,6,ESCORT,21835
ALL,6,HOME,7091058
ALL,6,OTHER DISCRETIONARY,22555
ALL,6,OTHER MAINTENANCE,29944
ALL,6,SCHOOL,2748
ALL,6,SHOPPING,9622
ALL,6,SOCIAL,6593
ALL,6,UNIVERSITY,2820
ALL,6,WORK,214146
ALL,6,WORK SUB-TOUR,2893
ALL,7,EATOUT,14704
ALL,7,ESCORT,39780
ALL,7,HOME,6973627
ALL,7,OTHER DISCRETIONARY,30006
ALL,7,OTHER MAINTENANCE,45396
ALL,7,SCHOOL,29870
ALL,7,SHOPPING,15314
ALL,7,SOCIAL,8901
ALL,7,UNIVERSITY,5254
ALL,7,WORK,385504
ALL,7,WORK SUB-TOUR,3646
ALL,8,EATOUT,17691
ALL,8,ESCORT,82359
ALL,8,HOME,6764979
ALL,8,OTHER DISCRETIONARY,39597
ALL,8,OTHER MAINTENANCE,67355
ALL,8,SCHOOL,151095
ALL,8,SHOPPING,25652
ALL,8,SOCIAL,12827
ALL,8,UNIVERSITY,10264
ALL,8,WORK,642465
ALL,8,WORK SUB-TOUR,4976
ALL,9,EATOUT,23366
ALL,9,ESCORT,189896
ALL,9,HOME,6370245
ALL,9,OTHER DISCRETIONARY,58225
ALL,9,OTHER MAINTENANCE,100555
ALL,9,SCHOOL,455332
ALL,9,SHOPPING,44830
ALL,9,SOCIAL,22750
ALL,9,UNIVERSITY,21092
ALL,9,WORK,973324
ALL,9,WORK SUB-TOUR,7227
ALL,10,EATOUT,32350
ALL,10,ESCORT,312840
ALL,10,HOME,5635035
ALL,10,OTHER DISCRETIONARY,83608
ALL,10,OTHER MAINTENANCE,145981
ALL,10,SCHOOL,790960
ALL,10,SHOPPING,74288
ALL,10,SOCIAL,32975
ALL,10,UNIVERSITY,28527
ALL,10,WORK,1245518
ALL,10,WORK SUB-TOUR,10384
ALL,11,EATOUT,37739
ALL,11,ESCORT,297067
ALL,11,HOME,4881762
ALL,11,OTHER DISCRETIONARY,114378
ALL,11,OTHER MAINTENANCE,193756
ALL,11,SCHOOL,972542
ALL,11,SHOPPING,107423
ALL,11,SOCIAL,40141
ALL,11,UNIVERSITY,40358
ALL,11,WORK,1469492
ALL,11,WORK SUB-TOUR,14459
ALL,12,EATOUT,38739
ALL,12,ESCORT,219856
ALL,12,HOME,4371809
ALL,12,OTHER DISCRETIONARY,143189
ALL,12,OTHER MAINTENANCE,221965
ALL,12,SCHOOL,1028104
ALL,12,SHOPPING,128452
ALL,12,SOCIAL,44574
ALL,12,UNIVERSITY,48072
ALL,12,WORK,1631095
ALL,12,WORK SUB-TOUR,19672
ALL,13,EATOUT,43620
ALL,13,ESCORT,156894
ALL,13,HOME,4072049
ALL,13,OTHER DISCRETIONARY,177440
ALL,13,OTHER MAINTENANCE,257218
ALL,13,SCHOOL,1054707
ALL,13,SHOPPING,166388
ALL,13,SOCIAL,57461
ALL,13,UNIVERSITY,56013
ALL,13,WORK,1742530
ALL,13,WORK SUB-TOUR,26577
ALL,14,EATOUT,46851
ALL,14,ESCORT,125174
ALL,14,HOME,3829003
ALL,14,OTHER DISCRETIONARY,202715
ALL,14,OTHER MAINTENANCE,284983
ALL,14,SCHOOL,1068559
ALL,14,SHOPPING,199260
ALL,14,SOCIAL,67577
ALL,14,UNIVERSITY,61209
ALL,14,WORK,1806528
ALL,14,WORK SUB-TOUR,36718
ALL,15,EATOUT,50564
ALL,15,ESCORT,113503
ALL,15,HOME,3677263
ALL,15,OTHER DISCRETIONARY,216381
ALL,15,OTHER MAINTENANCE,329722
ALL,15,SCHOOL,1075925
ALL,15,SHOPPING,251719
ALL,15,SOCIAL,76891
ALL,15,UNIVERSITY,65622
ALL,15,WORK,1849390
ALL,15,WORK SUB-TOUR,53352
ALL,16,EATOUT,53196
ALL,16,ESCORT,108307
ALL,16,HOME,3528982
ALL,16,OTHER DISCRETIONARY,214617
ALL,16,OTHER MAINTENANCE,345502
ALL,16,SCHOOL,1079493
ALL,16,SHOPPING,288795
ALL,16,SOCIAL,83783
ALL,16,UNIVERSITY,69221
ALL,16,WORK,1877780
ALL,16,WORK SUB-TOUR,80005
ALL,17,EATOUT,64122
ALL,17,ESCORT,108606
ALL,17,HOME,3457153
ALL,17,OTHER DISCRETIONARY,209058
ALL,17,OTHER MAINTENANCE,354618
ALL,17,SCHOOL,1080155
ALL,17,SHOPPING,310201
ALL,17,SOCIAL,90972
ALL,17,UNIVERSITY,72373
ALL,17,WORK,1898580
ALL,17,WORK SUB-TOUR,140638
ALL,18,EATOUT,85164
ALL,18,ESCORT,111970
ALL,18,HOME,3405715
ALL,18,OTHER DISCRETIONARY,201294
ALL,18,OTHER MAINTENANCE,356901
ALL,18,SCHOOL,1078049
ALL,18,SHOPPING,325120
ALL,18,SOCIAL,98141
ALL,18,UNIVERSITY,74988
ALL,18,WORK,1902932
ALL,18,WORK SUB-TOUR,283383
ALL,19,EATOUT,103308
ALL,19,ESCORT,115958
ALL,19,HOME,3380284
ALL,19,OTHER DISCRETIONARY,191522
ALL,19,OTHER MAINTENANCE,354960
ALL,19,SCHOOL,1073438
ALL,19,SHOPPING,331130
ALL,19,SOCIAL,102574
ALL,19,UNIVERSITY,76911
ALL,19,WORK,1830793
ALL,19,WORK SUB-TOUR,412852
ALL,20,EATOUT,116475
ALL,20,ESCORT,121242
ALL,20,HOME,3375066
ALL,20,OTHER DISCRETIONARY,181271
ALL,20,OTHER MAINTENANCE,351253
ALL,20,SCHOOL,1066298
ALL,20,SHOPPING,329934
ALL,20,SOCIAL,106039
ALL,20,UNIVERSITY,78302
ALL,20,WORK,1816989
ALL,20,WORK SUB-TOUR,448245
ALL,21,EATOUT,114585
ALL,21,ESCORT,127198
ALL,21,HOME,3390914
ALL,21,OTHER DISCRETIONARY,173204
ALL,21,OTHER MAINTENANCE,353325
ALL,21,SCHOOL,1056724
ALL,21,SHOPPING,318206
ALL,21,SOCIAL,109013
ALL,21,UNIVERSITY,78939
ALL,21,WORK,1868163
ALL,21,WORK SUB-TOUR,346530
ALL,22,EATOUT,102789
ALL,22,ESCORT,139839
ALL,22,HOME,3402607
ALL,22,OTHER DISCRETIONARY,168226
ALL,22,OTHER MAINTENANCE,349269
ALL,22,SCHOOL,1043360
ALL,22,SHOPPING,311324
ALL,22,SOCIAL,112268
ALL,22,UNIVERSITY,79196
ALL,22,WORK,1912160
ALL,22,WORK SUB-TOUR,228459
ALL,23,EATOUT,96270
ALL,23,ESCORT,181623
ALL,23,HOME,3427209
ALL,23,OTHER DISCRETIONARY,166216
ALL,23,OTHER MAINTENANCE,350366
ALL,23,SCHOOL,1024062
ALL,23,SHOPPING,314043
ALL,23,SOCIAL,117377
ALL,23,UNIVERSITY,78258
ALL,23,WORK,1924211
ALL,23,WORK SUB-TOUR,155350
ALL,24,EATOUT,90475
ALL,24,ESCORT,230020
ALL,24,HOME,3519440
ALL,24,OTHER DISCRETIONARY,169221
ALL,24,OTHER MAINTENANCE,344337
ALL,24,SCHOOL,991632
ALL,24,SHOPPING,321884
ALL,24,SOCIAL,122851
ALL,24,UNIVERSITY,76493
ALL,24,WORK,1907020
ALL,24,WORK SUB-TOUR,103032
ALL,25,EATOUT,90693
ALL,25,ESCORT,216225
ALL,25,HOME,3727678
ALL,25,OTHER DISCRETIONARY,172933
ALL,25,OTHER MAINTENANCE,327317
ALL,25,SCHOOL,830229
ALL,25,SHOPPING,327545
ALL,25,SOCIAL,126683
ALL,25,UNIVERSITY,73730
ALL,25,WORK,1871993
ALL,25,WORK SUB-TOUR,76615
ALL,26,EATOUT,94129
ALL,26,ESCORT,218260
ALL,26,HOME,3965761
ALL,26,OTHER DISCRETIONARY,182763
ALL,26,OTHER MAINTENANCE,320371
ALL,26,SCHOOL,702724
ALL,26,SHOPPING,321588
ALL,26,SOCIAL,131798
ALL,26,UNIVERSITY,69802
ALL,26,WORK,1811487
ALL,26,WORK SUB-TOUR,55756
ALL,27,EATOUT,98993
ALL,27,ESCORT,206912
ALL,27,HOME,4256030
ALL,27,OTHER DISCRETIONARY,194791
ALL,27,OTHER MAINTENANCE,306715
ALL,27,SCHOOL,531081
ALL,27,SHOPPING,312389
ALL,27,SOCIAL,133844
ALL,27,UNIVERSITY,61931
ALL,27,WORK,1724207
ALL,27,WORK SUB-TOUR,39737
ALL,28,EATOUT,103226
ALL,28,ESCORT,191581
ALL,28,HOME,4587015
ALL,28,OTHER DISCRETIONARY,204556
ALL,28,OTHER MAINTENANCE,285290
ALL,28,SCHOOL,363796
ALL,28,SHOPPING,291476
ALL,28,SOCIAL,130859
ALL,28,UNIVERSITY,55740
ALL,28,WORK,1593120
ALL,28,WORK SUB-TOUR,27830
ALL,29,EATOUT,110930
ALL,29,ESCORT,172025
ALL,29,HOME,4894079
ALL,29,OTHER DISCRETIONARY,261647
ALL,29,OTHER MAINTENANCE,264727
ALL,29,SCHOOL,250427
ALL,29,SHOPPING,280678
ALL,29,SOCIAL,136640
ALL,29,UNIVERSITY,51929
ALL,29,WORK,1420935
ALL,29,WORK SUB-TOUR,19204
ALL,30,EATOUT,124683
ALL,30,ESCORT,159931
ALL,30,HOME,5129256
ALL,30,OTHER DISCRETIONARY,323519
ALL,30,OTHER MAINTENANCE,250994
ALL,30,SCHOOL,199683
ALL,30,SHOPPING,286317
ALL,30,SOCIAL,140342
ALL,30,UNIVERSITY,46938
ALL,30,WORK,1189167
ALL,30,WORK SUB-TOUR,13364
ALL,31,EATOUT,142578
ALL,31,ESCORT,144720
ALL,31,HOME,5380451
ALL,31,OTHER DISCRETIONARY,389150
ALL,31,OTHER MAINTENANCE,225372
ALL,31,SCHOOL,160085
ALL,31,SHOPPING,270126
ALL,31,SOCIAL,147583
ALL,31,UNIVERSITY,41779
ALL,31,WORK,926053
ALL,31,WORK SUB-TOUR,9638
ALL,32,EATOUT,157725
ALL,32,ESCORT,127817
ALL,32,HOME,5595685
ALL,32,OTHER DISCRETIONARY,442179
ALL,32,OTHER MAINTENANCE,216430
ALL,32,SCHOOL,120698
ALL,32,SHOPPING,245643
ALL,32,SOCIAL,152971
ALL,32,UNIVERSITY,36701
ALL,32,WORK,694484
ALL,32,WORK SUB-TOUR,7440
ALL,33,EATOUT,170896
ALL,33,ESCORT,122592
ALL,33,HOME,5721215
ALL,33,OTHER DISCRETIONARY,455511
ALL,33,OTHER MAINTENANCE,200119
ALL,33,SCHOOL,89147
ALL,33,SHOPPING,232118
ALL,33,SOCIAL,157798
ALL,33,UNIVERSITY,34250
ALL,33,WORK,512476
ALL,33,WORK SUB-TOUR,6174
ALL,34,EATOUT,168532
ALL,34,ESCORT,110919
ALL,34,HOME,5877138
ALL,34,OTHER DISCRETIONARY,423697
ALL,34,OTHER MAINTENANCE,170878
ALL,34,SCHOOL,64602
ALL,34,SHOPPING,202312
ALL,34,SOCIAL,150114
ALL,34,UNIVERSITY,31141
ALL,34,WORK,386539
ALL,34,WORK SUB-TOUR,5542
ALL,35,EATOUT,151783
ALL,35,ESCORT,94808
ALL,35,HOME,6069577
ALL,35,OTHER DISCRETIONARY,358579
ALL,35,OTHER MAINTENANCE,144864
ALL,35,SCHOOL,46544
ALL,35,SHOPPING,173764
ALL,35,SOCIAL,138142
ALL,35,UNIVERSITY,27655
ALL,35,WORK,295421
ALL,35,WORK SUB-TOUR,5276
ALL,36,EATOUT,118190
ALL,36,ESCORT,77777
ALL,36,HOME,6291667
ALL,36,OTHER DISCRETIONARY,274136
ALL,36,OTHER MAINTENANCE,117655
ALL,36,SCHOOL,33524
ALL,36,SHOPPING,142311
ALL,36,SOCIAL,121425
ALL,36,UNIVERSITY,22062
ALL,36,WORK,232676
ALL,36,WORK SUB-TOUR,4820
ALL,37,EATOUT,90749
ALL,37,ESCORT,59951
