Person Group,Day Pattern,Count
Child too young for school,Home,124061
Child too young for school,Mandatory,198865
Child too young for school,Non-mandatory,187533
Full-time worker,Home,395903
Full-time worker,Mandatory,2030863
Full-time worker,Non-mandatory,360067
Non-worker,Home,416777
Non-worker,Non-mandatory,673045
Part-time worker,Home,79028
Part-time worker,Mandatory,309861
Part-time worker,Non-mandatory,183941
Retired,Home,703119
Retired,Non-mandatory,697031
Student of driving age,Home,25508
Student of driving age,Mandatory,217245
Student of driving age,Non-mandatory,20528
Student of non-driving age,Home,70473
Student of non-driving age,Mandatory,768773
Student of non-driving age,Non-mandatory,73112
University student,Home,52067
University student,Mandatory,153056
University student,Non-mandatory,59684
