PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,EATOUT,309
ALL,1,ESCORT,1881
ALL,1,HOME,6688353
ALL,1,OTHER DISCRETIONARY,699
ALL,1,OTHER MAINTENANCE,2663
ALL,1,SCHOOL,872
ALL,1,SHOPPING,1142
ALL,1,SOCIAL,471
ALL,1,UNIVERSITY,252
ALL,1,WORK,4958
ALL,1,WORK SUB-TOUR,103
ALL,2,EATOUT,745
ALL,2,ESCORT,4038
ALL,2,HOME,6676605
ALL,2,OTHER DISCRETIONARY,1453
ALL,2,OTHER MAINTENANCE,5402
ALL,2,SCHOOL,1461
ALL,2,SHOPPING,2534
ALL,2,SOCIAL,1103
ALL,2,UNIVERSITY,450
ALL,2,WORK,13109
ALL,2,WORK SUB-TOUR,323
ALL,3,EATOUT,1260
ALL,3,ESCORT,6224
ALL,3,HOME,6662658
ALL,3,OTHER DISCRETIONARY,2576
ALL,3,OTHER MAINTENANCE,8202
ALL,3,SCHOOL,1841
ALL,3,SHOPPING,3840
ALL,3,SOCIAL,1819
ALL,3,UNIVERSITY,634
ALL,3,WORK,26425
ALL,3,WORK SUB-TOUR,685
ALL,4,EATOUT,5105
ALL,4,ESCORT,9514
ALL,4,HOME,6644161
ALL,4,OTHER DISCRETIONARY,5030
ALL,4,OTHER MAINTENANCE,13016
ALL,4,SCHOOL,2114
ALL,4,SHOPPING,5406
ALL,4,SOCIAL,3035
ALL,4,UNIVERSITY,1001
ALL,4,WORK,50083
ALL,4,WORK SUB-TOUR,1209
ALL,5,EATOUT,8550
ALL,5,ESCORT,12731
ALL,5,HOME,6610426
ALL,5,OTHER DISCRETIONARY,13666
ALL,5,OTHER MAINTENANCE,18919
ALL,5,SCHOOL,2275
ALL,5,SHOPPING,6533
ALL,5,SOCIAL,4538
ALL,5,UNIVERSITY,1651
ALL,5,WORK,101548
ALL,5,WORK SUB-TOUR,1894
ALL,6,EATOUT,11649
ALL,6,ESCORT,20269
ALL,6,HOME,6546445
ALL,6,OTHER DISCRETIONARY,21554
ALL,6,OTHER MAINTENANCE,28144
ALL,6,SCHOOL,2379
ALL,6,SHOPPING,9213
ALL,6,SOCIAL,6372
ALL,6,UNIVERSITY,2914
ALL,6,WORK,201243
ALL,6,WORK SUB-TOUR,2650
ALL,7,EATOUT,14096
ALL,7,ESCORT,37299
ALL,7,HOME,6434754
ALL,7,OTHER DISCRETIONARY,28966
ALL,7,OTHER MAINTENANCE,42973
ALL,7,SCHOOL,28111
ALL,7,SHOPPING,14719
ALL,7,SOCIAL,8577
ALL,7,UNIVERSITY,5518
ALL,7,WORK,364059
ALL,7,WORK SUB-TOUR,3325
ALL,8,EATOUT,17055
ALL,8,ESCORT,77780
ALL,8,HOME,6236673
ALL,8,OTHER DISCRETIONARY,37581
ALL,8,OTHER MAINTENANCE,63711
ALL,8,SCHOOL,143325
ALL,8,SHOPPING,23972
ALL,8,SOCIAL,11745
ALL,8,UNIVERSITY,10694
ALL,8,WORK,608888
ALL,8,WORK SUB-TOUR,4512
ALL,9,EATOUT,22373
ALL,9,ESCORT,177756
ALL,9,HOME,5862013
ALL,9,OTHER DISCRETIONARY,54314
ALL,9,OTHER MAINTENANCE,94449
ALL,9,SCHOOL,434016
ALL,9,SHOPPING,42137
ALL,9,SOCIAL,21097
ALL,9,UNIVERSITY,21840
ALL,9,WORK,926885
ALL,9,WORK SUB-TOUR,6635
ALL,10,EATOUT,30483
ALL,10,ESCORT,293535
ALL,10,HOME,5159189
ALL,10,OTHER DISCRETIONARY,77591
ALL,10,OTHER MAINTENANCE,136018
ALL,10,SCHOOL,755008
ALL,10,SHOPPING,69769
ALL,10,SOCIAL,30580
